,Decision Variables,,,Objectives,,
Solution ID,Hedging Parameter,FC PE Target,FC Flow Limit,Demand Reliability,Storage Reliability,Flood Reliability
49,8.6500000000000004,6495,185.27427556348832,0.56999999999999995,1,0.87
220,3.0100000000000002,6496,229.81519630993512,0.81000000000000005,0.82999999999999996,0.90000000000000002
311,3.71,6491,199.58494778513921,0.68000000000000005,0.87,0.90000000000000002
483,11.77,6490,217.27572015190395,0.56000000000000005,1,0.88
528,11.960000000000001,6497,156.28189920339852,0.57999999999999996,1,0.85999999999999999
553,3.73,6490,244.29334908939131,0.65000000000000002,0.85999999999999999,0.91000000000000003
583,3.46,6499,250,0.76000000000000001,0.88,0.89000000000000001
594,1,6500,240.89086324412526,0.97999999999999998,0.81000000000000005,0.89000000000000001
785,3.3599999999999999,6500,213.26026655641851,0.78000000000000003,0.88,0.88
794,4.2300000000000004,6496,229.81519630993512,0.59999999999999998,0.93000000000000005,0.89000000000000001
806,3.8000000000000003,6490,201.28819800429702,0.66000000000000003,0.88,0.90000000000000002
813,3.98,6490,250,0.60999999999999999,0.88,0.91000000000000003
842,1,6492,250,0.94999999999999996,0.75,0.91000000000000003
846,2.0600000000000001,6500,250,0.92000000000000004,0.82999999999999996,0.89000000000000001
863,1.95,6500,172.13218315605747,0.93000000000000005,0.82999999999999996,0.88
877,3.2000000000000002,6496,243.65991582915015,0.77000000000000002,0.83999999999999997,0.90000000000000002
968,3.9399999999999999,6475,250,0.58999999999999997,0.53000000000000003,0.93000000000000005
1026,4.4400000000000004,6475,239.4071407442022,0.55000000000000004,0.59999999999999998,0.92000000000000004
1081,3.7200000000000002,6500,248.43142910567138,0.71999999999999997,0.91000000000000003,0.88
1094,2.9300000000000002,6500,248.80642258056724,0.84999999999999998,0.84999999999999998,0.89000000000000001
1111,3.6899999999999999,6499,248.98248563094859,0.71999999999999997,0.90000000000000002,0.89000000000000001
1339,4.0899999999999999,6500,244.29162054459414,0.63,0.93999999999999995,0.88
1367,4.5,6490,244.13067305631643,0.55000000000000004,0.92000000000000004,0.90000000000000002
